,City,Country,Lat,Lon,Temperature,Humidity(%),Cloudiness(%),Wind Speed
0,marcona,,,,,,,
1,brae,GB,60.4,-1.35,279.15,90,48,16.5
2,busselton,AU,-33.64,115.35,282.58,65,48,7.92
3,casper,US,42.87,-106.31,281.28,49,90,2.1
4,bandarbeyla,SO,9.49,50.81,298.893,100,92,3.27
5,port elizabeth,US,39.31,-74.98,282.97,49,40,9.8
6,bluff,AU,-23.58,149.07,294.393,90,0,2.77
7,cayenne,GF,4.94,-52.33,301.15,74,20,6.2
8,grand river south east,,,,,,,
9,nizhneyansk,,,,,,,
10,ushuaia,AR,-54.81,-68.31,281.15,93,75,3.6
11,adrar,DZ,27.87,-0.29,290.15,33,0,4.6
12,padang,ID,-0.92,100.36,298.493,100,68,1.67
13,saint-philippe,CA,45.36,-73.48,275.06,93,90,5.1
14,gayeri,BF,12.65,0.49,300.843,32,0,2.47
15,bur gabo,,,,,,,
16,waingapu,ID,-9.65,120.26,296.743,96,20,2.37
17,punta arenas,CL,-53.16,-70.91,288.15,47,40,4.6
18,el wasta,,,,,,,
19,sorong,ID,-0.86,131.25,300.343,100,92,2.52
20,miyakonojo,JP,31.78,131.06,281.03,61,75,3.6
21,bambous virieux,MU,-20.34,57.76,299.8,78,40,5.1
22,puerto ayora,EC,-0.74,-90.35,300.71,70,20,3.6
23,roseburg,US,43.22,-123.34,284.58,76,90,1.77
24,qaanaaq,GL,77.48,-69.36,240.743,77,0,5.22
25,casa nova,BR,-11.77,-39.23,296.693,98,56,1.97
26,nikolskoye,RU,59.7,30.79,274.52,59,90,4
27,azimur,,,,,,,
28,lagoa,PT,37.14,-8.45,287.31,77,0,2.1
29,vao,EE,59.1,26.19,268.243,81,8,1.22
30,chikwawa,MW,-16.03,34.79,295.743,97,92,1.97
31,atuona,PF,-9.8,-139.03,300.843,100,64,7.42
32,hobart,AU,-42.88,147.33,289.88,77,40,4.6
33,vardo,US,39.62,-77.74,279.57,60,75,10.8
34,zaraza,VE,9.35,-65.33,307.743,38,0,6.27
35,arraial do cabo,BR,-22.97,-42.02,298.12,57,40,4.1
36,esperance,TT,10.24,-61.45,302.34,58,40,5.1
37,carnarvon,ZA,-30.97,22.13,287.843,36,24,4.12
38,tarakan,ID,3.3,117.63,298.293,100,68,1.22
39,port alfred,ZA,-33.59,26.89,292.59,95,20,5.82
40,kavieng,PG,-2.57,150.8,301.143,100,56,4.02
41,victoria,BN,5.28,115.24,298.33,88,90,1
42,aripuana,BR,-9.17,-60.63,301.593,81,56,0.32
43,upernavik,GL,72.79,-56.15,249.843,100,32,2.77
44,asau,,,,,,,
45,bunol,ES,39.42,-0.78,284.42,62,20,2.1
46,leningradskiy,RU,69.38,178.42,247.943,83,20,1.62
47,ambon,FR,47.55,-2.56,280.21,70,0,1.77
48,novaya igirma,RU,57.14,103.93,272.743,80,88,4.72
49,belushya guba,,,,,,,
50,lakatoro,VU,-16.11,167.42,299.593,99,92,1.97
51,talnakh,RU,69.49,88.39,251.343,59,0,0.97
52,pell city,US,33.59,-86.29,292.63,39,1,2.6
53,nevsehir,TR,38.62,34.71,276.18,55,0,4.1
54,jamestown,AU,-33.21,138.6,292.743,73,92,2.57
55,barrow,AR,-38.31,-60.23,295.893,45,0,5.47
56,tuatapere,NZ,-46.13,167.69,290.37,83,64,0.45
57,nome,US,30.04,-94.42,299.52,22,1,2.82
58,bengkulu,,,,,,,
59,galle,US,29.74,-97.91,297.28,41,90,5.1
60,amderma,,,,,,,
61,nanton,CA,50.35,-113.77,287.37,35,8,0.89
62,taolanaro,,,,,,,
63,ribeira grande,PT,38.52,-28.7,290.15,82,75,3.6
64,hithadhoo,MV,-0.6,73.08,302.843,100,80,2.47
65,tuktoyaktuk,CA,69.44,-133.03,256.15,70,75,6.2
66,vila velha,BR,-3.71,-38.6,301.7,79,40,3.1
67,albany,US,42.65,-73.75,275.38,80,90,9.8
68,bodden town,KY,19.28,-81.25,299.14,54,20,4.1
69,kahului,US,20.89,-156.47,297.14,45,40,8.2
70,new norfolk,AU,-42.78,147.06,289.89,77,40,4.6
71,dubti,ET,11.74,41.09,295.793,50,0,1.12
72,dikson,RU,73.51,80.55,258.143,100,56,7.67
73,kizukuri,JP,40.81,140.39,273.33,73,88,4.02
74,longyearbyen,NO,78.22,15.63,269.15,58,75,4.6
75,port macquarie,AU,-31.43,152.91,291.55,100,75,2.6
76,illoqqortoormiut,,,,,,,
77,tessalit,ML,20.2,1.01,296.093,13,76,4.42
78,turochak,RU,52.26,87.12,263.893,61,0,0.97
79,kodiak,US,39.95,-94.76,290.38,1,1,3.02
80,avarua,CK,-21.21,-159.78,302.15,83,76,4.1
81,aberystwyth,GB,52.41,-4.08,281.13,96,92,3.37
82,medicine hat,CA,50.04,-110.68,290.96,25,20,2.6
83,antalaha,MG,-14.9,50.28,299.943,87,32,3.67
84,romhany,HU,47.93,19.26,279.4,81,0,0.5
85,rikitea,PF,-23.12,-134.97,299.293,98,48,7.92
86,bilma,NE,18.69,12.92,299.743,15,24,4.67
87,korla,,,,,,,
88,airai,TL,-8.93,125.41,293.893,89,20,0.87
89,fenoarivo,MG,-18.93,47.44,291.15,93,75,2.6
90,hervey bay,AU,-25.3,152.85,296.46,94,8,2.1
91,grindavik,IS,63.84,-22.43,273.04,63,75,16.5
92,sokolo,ML,14.74,-6.12,299.943,31,92,2.57
93,chokurdakh,RU,70.62,147.9,243.993,29,0,4.27
94,hermanus,ZA,-34.42,19.24,291.73,83,36,4.02
95,torbay,CA,47.66,-52.73,272.69,89,75,8.7
96,aksarka,RU,66.56,67.8,265.143,77,80,3.22
97,portland,US,45.52,-122.67,283.28,81,90,3.6
98,narsaq,GL,60.91,-46.05,267.15,85,88,0.97
99,sentyabrskiy,,,,,,,
100,kolyvan,RU,55.31,82.74,269.15,79,0,3
101,vaini,IN,15.34,74.49,291.093,78,0,0.52
102,severo-kurilsk,RU,50.68,156.12,272.643,97,92,10.47
103,georgetown,GY,6.8,-58.16,302.15,66,20,7.2
104,faya,SA,18.39,42.45,290.15,33,0,3.1
105,chuy,UY,-33.69,-53.46,292.993,84,64,2.57
106,east london,ZA,-33.02,27.91,294.15,83,20,3.6
107,phan rang,,,,,,,
108,cidreira,BR,-30.17,-50.22,289.993,100,92,4.17
109,maningrida,AU,-12.05,134.23,298.543,97,88,6.77
110,kuytun,RU,54.34,101.51,270.943,67,64,2.87
111,cairns,AU,-16.92,145.77,297.22,83,75,4.6
112,jinchang,CN,38.52,102.19,264.443,61,48,1.17
113,san carlos de bariloche,AR,-41.13,-71.31,291.15,45,75,10.3
114,kubachi,RU,42.09,47.6,266.443,61,24,0.52
115,tasiilaq,GL,65.61,-37.64,262.15,66,0,6.2
116,yellowknife,CA,62.45,-114.38,272.27,74,20,6.7
117,sydney mines,CA,46.24,-60.22,276.14,93,90,12.3
118,kropotkin,RU,45.43,40.58,282.04,72,80,7.87
119,harper,US,30.3,-99.24,294.97,49,90,8.7
120,riyadh,SA,24.63,46.72,293.15,37,0,3.1
121,waddan,LY,29.16,16.14,289.343,59,0,5.77
122,mahebourg,MU,-20.41,57.7,299.75,78,40,5.1
123,caravaggio,IT,45.5,9.64,282.63,53,0,2.6
124,thompson,CA,55.74,-97.86,281.15,39,40,5.7
125,lucea,JM,18.44,-78.17,300.56,69,75,4.1
126,mataura,NZ,-46.19,168.86,290.37,83,44,0.45
127,pemberton,AU,-34.44,116.03,282.54,97,24,5.37
128,tiverton,GB,50.9,-3.49,282.37,81,75,2.82
129,lorengau,PG,-2.02,147.27,300.493,100,64,3.62
130,albemarle,US,35.35,-80.2,291.56,27,1,7.7
131,cape town,ZA,-33.93,18.42,292.36,68,0,5.1
132,piacabucu,BR,-10.41,-36.43,300.843,88,12,2.77
133,wawa,NG,9.9,4.41,301.393,42,12,2.67
134,christchurch,NZ,-43.53,172.64,289.85,82,32,0.5
135,alice springs,AU,-23.7,133.88,294.15,26,0,1.5
136,hilo,US,19.71,-155.08,296.02,64,90,1.5
137,potcoava,RO,44.47,24.63,283.01,46,0,2.1
138,los llanos de aridane,ES,28.66,-17.92,288.76,68,75,9.3
139,ahipara,NZ,-35.17,173.16,293.243,87,24,1.52
140,meyungs,,,,,,,
141,samarai,PG,-10.62,150.67,300.443,100,80,4.62
142,manuk mangkaw,PH,4.8,119.85,300.843,100,12,1.52
143,nanortalik,GL,60.14,-45.24,273.693,96,92,12.42
144,saleaula,,,,,,,
145,vila franca do campo,PT,37.72,-25.43,287.52,77,75,3.6
146,nosy varika,MG,-20.58,48.53,296.443,100,92,1.87
147,ostrovnoy,RU,68.05,39.51,265.143,76,0,5.67
148,gizo,IL,31.8,34.94,286.21,87,20,2.1
